Date,Open,High,Low,Close,Volume
23-03-1995,2.7806,2.8539,2.776,2.8344,105286400
24-03-1995,2.8539,2.8878,2.8488,2.878,65683200
27-03-1995,2.8344,2.878,2.8293,2.8441,61008000
28-03-1995,2.8391,2.8831,2.8391,2.8683,47603200
29-03-1995,2.8683,2.8831,2.8075,2.8149,65763200
30-03-1995,2.8247,2.8344,2.7417,2.8099,75011200
31-03-1995,2.7954,2.8099,2.7467,2.7709,63080000
03-04-1995,2.7662,2.7806,2.7078,2.7273,65617600
04-04-1995,2.737,2.7857,2.7175,2.7222,66689600
05-04-1995,2.7222,2.7514,2.6786,2.7514,65792000
06-04-1995,2.7514,2.7612,2.7054,2.7273,35414400
07-04-1995,2.737,2.7565,2.7078,2.7125,43148800
10-04-1995,2.7078,2.776,2.7027,2.7639,43169600
11-04-1995,2.7904,2.8106,2.7709,2.8099,43624000
12-04-1995,2.8099,2.8539,2.7565,2.7904,40430400
13-04-1995,2.7954,2.8247,2.7709,2.8247,32814400
17-04-1995,2.9415,3.0436,2.9415,3.0144,187913600
18-04-1995,3.0144,3.0195,2.961,2.9902,75609600
19-04-1995,2.9852,3,2.9415,2.9657,59163200
20-04-1995,2.9805,2.9949,2.8831,2.9318,83913600
21-04-1995,2.9462,2.956,2.917,2.9221,53555200
24-04-1995,2.9365,3.03,2.9267,3.0292,68089600
25-04-1995,3.0241,3.1215,3.0241,3.1169,69371200
26-04-1995,3.1071,3.1266,3.0826,3.1021,44305600
27-04-1995,3.1021,3.1363,2.9754,3.0631,128844800
28-04-1995,3.0728,3.1995,3.0631,3.185,92104000
01-05-1995,3.1897,3.263,3.185,3.1995,65550400
02-05-1995,3.1995,3.2045,3.0974,3.0997,78099200
03-05-1995,3.1266,3.1558,3.1266,3.1508,61566400
04-05-1995,3.1753,3.2435,3.1558,3.1753,66524800
05-05-1995,3.1702,3.18,3.1118,3.1169,43707200
08-05-1995,3.1118,3.1313,3.0826,3.1118,43988800
09-05-1995,3.1169,3.1313,3.0826,3.1095,36748800
10-05-1995,3.1215,3.1313,3.0728,3.0876,38688000
11-05-1995,3.0826,3.1753,3.0779,3.1702,38673600
12-05-1995,3.1702,3.2045,3.1313,3.1461,36192000
15-05-1995,3.141,3.1948,3.1118,3.1679,35232000
16-05-1995,3.1753,3.3124,3.1753,3.3066,86708800
17-05-1995,3.3214,3.3845,3.3163,3.3506,66515200
18-05-1995,3.3358,3.3799,3.2969,3.2969,58326400
19-05-1995,3.2825,3.3312,3.2727,3.3261,45190400
22-05-1995,3.3261,3.4091,3.2727,3.3993,91382400
23-05-1995,3.4091,3.448,3.3518,3.448,55516800
24-05-1995,3.4722,3.487,3.3896,3.4091,68684800
25-05-1995,3.4235,3.4819,3.3943,3.4773,43440000
26-05-1995,3.4749,3.4773,3.3896,3.4091,52934400
30-05-1995,3.4286,3.443,3.2189,3.2337,99612800
31-05-1995,3.2435,3.3019,3.1558,3.2996,119756800
01-06-1995,3.3117,3.3358,3.2676,3.2774,61153600
02-06-1995,3.263,3.2774,3.2189,3.2384,55556800
05-06-1995,3.2189,3.3261,3.185,3.3019,55852800
06-06-1995,3.3066,3.3514,3.2384,3.2384,49036800
07-06-1995,3.2287,3.3019,3.1995,3.2727,64590400
08-06-1995,3.2774,3.2969,3.2579,3.2774,29320000
09-06-1995,3.263,3.3456,3.2189,3.3066,81214400
12-06-1995,3.2969,3.3019,3.2435,3.263,45832000
13-06-1995,3.2774,3.3019,3.2482,3.2676,37691200
14-06-1995,3.2482,3.2774,3.224,3.2653,43096000
15-06-1995,3.2727,3.3117,3.2676,3.3066,43912000
16-06-1995,3.3117,3.4091,3.3066,3.3896,92278400
